id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error,run_id,vote_support,num_runs
rege_ood_noisy_blender_000016,noisy,images/sample_00016.png,12:24,24,12:24:22,1462,22,01:34,94,,,True,False,False,False,70,False,False,,01:34,0.3172924518585205,,1,3,5
rege_ood_noisy_blender_000017,noisy,images/sample_00017.png,09:51,591,,,,02:42,162,,,True,False,False,False,291,False,False,,03:25,0.31768250465393066,,1,1,5
rege_ood_noisy_blender_000018,noisy,images/sample_00018.png,11:53,713,,,,09:55,35,,,True,False,False,False,42,False,False,,11:35,0.3500854969024658,,1,1,5
rege_ood_noisy_blender_000019,noisy,images/sample_00019.png,02:58,178,,,,12:51,51,,,True,False,False,False,127,False,False,,12:53,0.3224809169769287,,1,2,5
rege_ood_noisy_blender_000020,noisy,images/sample_00020.png,01:49,109,,,,03:50,230,,,True,False,False,False,121,False,False,,04:40,0.32183027267456055,,1,2,5
rege_ood_noisy_blender_000021,noisy,images/sample_00021.png,02:10,130,02:10:00,7800,0,04:25,265,,,True,False,False,False,135,False,False,,05:26,0.31641101837158203,,1,2,5
rege_ood_noisy_blender_000022,noisy,images/sample_00022.png,03:11,191,,,,01:03,63,,,True,False,False,False,128,False,False,,01:03,0.3180711269378662,,1,2,5
rege_ood_noisy_blender_000023,noisy,images/sample_00023.png,02:24,144,,,,03:26,206,,,True,False,False,False,62,False,False,,03:26,0.31473326683044434,,1,4,5
rege_ood_noisy_blender_000024,noisy,images/sample_00024.png,08:14,494,08:14:58,29698,58,10:15,615,,,True,False,False,False,121,False,False,,10:15,0.36890625953674316,,1,3,5
rege_ood_noisy_blender_000025,noisy,images/sample_00025.png,07:31,451,,,,07:30,450,,,True,False,True,True,1,True,False,,07:30,0.3132815361022949,,1,3,5
rege_ood_noisy_blender_000026,noisy,images/sample_00026.png,05:43,343,,,,04:30,270,,,True,False,False,False,73,False,False,,05:47,0.3191537857055664,,1,1,5
rege_ood_noisy_blender_000027,noisy,images/sample_00027.png,05:54,354,05:54:31,21271,31,03:25,205,,,True,False,False,False,149,False,False,,08:40,0.2946779727935791,,1,1,5
rege_ood_noisy_blender_000028,noisy,images/sample_00028.png,04:23,263,,,,05:32,332,,,True,False,False,False,69,False,False,,05:32,0.29567861557006836,,1,1,5
rege_ood_noisy_blender_000029,noisy,images/sample_00029.png,03:30,210,,,,05:40,340,,,True,False,False,False,130,False,False,,05:32,0.30649256706237793,,1,2,5
rege_ood_noisy_blender_000030,noisy,images/sample_00030.png,03:44,224,,,,02:54,174,,,True,False,False,False,50,False,False,,11:56,0.3107261657714844,,1,1,5
rege_ood_noisy_blender_000031,noisy,images/sample_00031.png,01:03,63,01:03:13,3793,13,02:04,124,,,True,False,False,False,61,False,False,,03:04,0.3160877227783203,,1,2,5
rege_ood_noisy_blender_000032,noisy,images/sample_00032.png,08:56,536,,,,03:25,205,,,True,False,False,False,331,False,False,,03:25,0.2954978942871094,,1,2,5
rege_ood_noisy_blender_000033,noisy,images/sample_00033.png,01:30,90,,,,05:00,300,,,True,False,False,False,210,False,False,,06:08,0.31571340560913086,,1,1,5
rege_ood_noisy_blender_000034,noisy,images/sample_00034.png,11:54,714,11:54:49,42889,49,02:40,160,,,True,False,False,False,166,False,False,,02:40,0.29932403564453125,,1,1,5
rege_ood_noisy_blender_000035,noisy,images/sample_00035.png,07:03,423,,,,01:02,62,,,True,False,False,False,359,False,False,,02:02,0.2981724739074707,,1,2,5
rege_ood_noisy_blender_000036,noisy,images/sample_00036.png,02:51,171,02:51:03,10263,3,03:51,231,,,True,False,False,False,60,False,True,,03:52,0.30205368995666504,,1,3,5
rege_ood_noisy_blender_000037,noisy,images/sample_00037.png,06:51,411,,,,03:25,205,,,True,False,False,False,206,False,False,,03:25,0.3185422420501709,,1,2,5
rege_ood_noisy_blender_000038,noisy,images/sample_00038.png,05:24,324,,,,07:33,453,,,True,False,False,False,129,False,False,,07:33,0.29373955726623535,,1,4,5
rege_ood_noisy_blender_000039,noisy,images/sample_00039.png,02:16,136,02:16:48,8208,48,01:02,62,,,True,False,False,False,74,False,False,,01:01,0.2912890911102295,,1,3,5
rege_ood_noisy_blender_000040,noisy,images/sample_00040.png,05:12,312,05:12:59,18779,59,05:12,312,,,True,True,True,True,0,True,True,,05:12,0.33191514015197754,,1,5,5
rege_ood_noisy_blender_000041,noisy,images/sample_00041.png,12:44,44,12:44:16,2656,16,12:45,45,,,True,False,True,True,1,True,False,,12:45,0.30686283111572266,,1,5,5
rege_ood_noisy_blender_000042,noisy,images/sample_00042.png,07:26,446,07:26:59,26819,59,07:26,446,,,True,True,True,True,0,True,True,,07:26,0.30825281143188477,,1,3,5
rege_ood_noisy_blender_000043,noisy,images/sample_00043.png,05:30,330,,,,03:16,196,,,True,False,False,False,134,False,False,,03:16,0.30260777473449707,,1,2,5
rege_ood_noisy_blender_000044,noisy,images/sample_00044.png,07:52,472,07:52:47,28367,47,06:49,409,,,True,False,False,False,63,False,False,,06:49,0.33692359924316406,,1,2,5
rege_ood_noisy_blender_000045,noisy,images/sample_00045.png,01:06,66,01:06:43,4003,43,03:13,193,,,True,False,False,False,127,False,False,,03:13,0.29346537590026855,,1,3,5
rege_ood_noisy_blender_000046,noisy,images/sample_00046.png,04:37,277,,,,05:16,316,,,True,False,False,False,39,False,False,,05:16,0.3034512996673584,,1,3,5
rege_ood_noisy_blender_000047,noisy,images/sample_00047.png,07:20,440,,,,07:20,440,,,True,True,True,True,0,True,True,,07:21,0.30143094062805176,,1,4,5
rege_ood_noisy_blender_000048,noisy,images/sample_00048.png,08:00,480,,,,08:58,538,,,True,False,False,False,58,True,False,,08:58,0.29509830474853516,,1,2,5
rege_ood_noisy_blender_000049,noisy,images/sample_00049.png,07:58,478,07:58:45,28725,45,08:58,538,,,True,False,False,False,60,False,True,,08:58,0.2959730625152588,,1,3,5
rege_ood_noisy_blender_000050,noisy,images/sample_00050.png,02:30,150,02:30:23,9023,23,02:30,150,,,True,True,True,True,0,True,True,,02:30,0.3372366428375244,,1,3,5
rege_ood_noisy_blender_000051,noisy,images/sample_00051.png,06:29,389,06:29:21,23361,21,05:30,330,,,True,False,False,False,59,False,False,,06:30,0.29252147674560547,,1,2,5
rege_ood_noisy_blender_000052,noisy,images/sample_00052.png,05:28,328,,,,01:07,67,,,True,False,False,False,261,False,False,,03:39,0.2912254333496094,,1,2,5
rege_ood_noisy_blender_000053,noisy,images/sample_00053.png,01:28,88,,,,05:09,309,,,True,False,False,False,221,False,False,,05:09,0.2987935543060303,,1,3,5
rege_ood_noisy_blender_000054,noisy,images/sample_00054.png,09:10,550,,,,03:25,205,,,True,False,False,False,345,False,False,,03:25,0.29576611518859863,,1,3,5
rege_ood_noisy_blender_000055,noisy,images/sample_00055.png,12:27,27,12:27:29,1649,29,02:37,157,,,True,False,False,False,130,False,False,,02:37,0.29105687141418457,,1,2,5
rege_ood_noisy_blender_000056,noisy,images/sample_00056.png,05:22,322,,,,05:21,321,,,True,False,True,True,1,True,False,,05:21,0.29456067085266113,,1,5,5
rege_ood_noisy_blender_000057,noisy,images/sample_00057.png,10:32,632,,,,03:55,235,,,True,False,False,False,323,False,False,,06:53,0.29210591316223145,,1,1,5
rege_ood_noisy_blender_000058,noisy,images/sample_00058.png,01:03,63,01:03:54,3834,54,02:09,129,,,True,False,False,False,66,False,False,,02:25,0.29770469665527344,,1,2,5
rege_ood_noisy_blender_000059,noisy,images/sample_00059.png,05:03,303,,,,05:03,303,,,True,True,True,True,0,True,True,,05:03,0.2918543815612793,,1,4,5
rege_ood_noisy_blender_000060,noisy,images/sample_00060.png,11:58,718,11:58:39,43119,39,11:46,706,,,True,False,False,False,12,True,False,,11:46,0.2941434383392334,,1,2,5
rege_ood_noisy_blender_000061,noisy,images/sample_00061.png,12:14,14,,,,11:07,667,,,True,False,False,False,67,False,False,,11:07,0.2925891876220703,,1,3,5
rege_ood_noisy_blender_000062,noisy,images/sample_00062.png,08:08,488,08:08:26,29306,26,08:11,491,,,True,False,False,True,3,True,False,,08:10,0.2953000068664551,,1,2,5
rege_ood_noisy_blender_000063,noisy,images/sample_00063.png,02:47,167,02:47:58,10078,58,02:48,168,,,True,False,True,True,1,True,False,,02:48,0.3117847442626953,,1,3,5
rege_ood_noisy_blender_000064,noisy,images/sample_00064.png,10:47,647,10:47:25,38845,25,09:41,581,,,True,False,False,False,66,False,False,,09:41,0.30620527267456055,,1,3,5
rege_ood_noisy_blender_000065,noisy,images/sample_00065.png,04:21,261,04:21:48,15708,48,02:48,168,,,True,False,False,False,93,False,False,,03:48,0.3032352924346924,,1,1,5
rege_ood_noisy_blender_000066,noisy,images/sample_00066.png,05:15,315,,,,05:17,317,,,True,False,False,True,2,True,False,,05:17,0.30315089225769043,,1,2,5
rege_ood_noisy_blender_000067,noisy,images/sample_00067.png,09:58,598,09:58:53,35933,53,09:57,597,,,True,False,True,True,1,True,False,,10:56,0.3037378787994385,,1,2,5
rege_ood_noisy_blender_000068,noisy,images/sample_00068.png,12:32,32,,,,01:31,176,,,True,False,False,False,144,False,False,,01:31,0.2955594062805176,,1,1,5
rege_ood_noisy_blender_000069,noisy,images/sample_00069.png,10:03,603,10:03:54,36234,54,06:49,409,,,True,False,False,False,194,False,False,,10:16,0.2938063144683838,,1,2,5
rege_ood_noisy_blender_000070,noisy,images/sample_00070.png,12:16,16,,,,12:12,12,,,True,False,False,True,4,True,False,,12:13,0.3190932273864746,,1,3,5
rege_ood_noisy_blender_000071,noisy,images/sample_00071.png,12:34,34,,,,12:34,34,,,True,True,True,True,0,True,True,,12:35,0.315523624420166,,1,2,5
rege_ood_noisy_blender_000072,noisy,images/sample_00072.png,06:27,387,06:27:59,23279,59,07:42,462,,,True,False,False,False,75,False,False,,04:12,0.3100292682647705,,1,2,5
rege_ood_noisy_blender_000073,noisy,images/sample_00073.png,03:14,194,03:14:33,11673,33,03:17,197,,,True,False,False,True,3,True,False,,03:17,0.31928038597106934,,1,4,5
rege_ood_noisy_blender_000074,noisy,images/sample_00074.png,10:46,646,10:46:45,38805,45,09:46,586,,,True,False,False,False,60,False,True,,10:47,0.315976619720459,,1,2,5
rege_ood_noisy_blender_000075,noisy,images/sample_00075.png,07:02,422,,,,07:02,422,,,True,True,True,True,0,True,True,,07:03,0.3113386631011963,,1,3,5
rege_ood_noisy_blender_000076,noisy,images/sample_00076.png,05:00,300,,,,05:01,301,,,True,False,True,True,1,True,False,,05:02,0.31113433837890625,,1,3,5
rege_ood_noisy_blender_000077,noisy,images/sample_00077.png,07:18,438,,,,06:06,366,,,True,False,False,False,72,False,False,,06:06,0.32137036323547363,,1,2,5
rege_ood_noisy_blender_000078,noisy,images/sample_00078.png,04:34,274,,,,03:25,205,,,True,False,False,False,69,False,False,,06:25,0.32178354263305664,,1,1,5
rege_ood_noisy_blender_000079,noisy,images/sample_00079.png,07:35,455,07:35:39,27339,39,06:35,395,,,True,False,False,False,60,False,True,,07:25,0.3166069984436035,,1,1,5
rege_ood_noisy_blender_000080,noisy,images/sample_00080.png,04:14,254,04:14:42,15282,42,04:15,255,,,True,False,True,True,1,True,False,,04:15,0.33133625984191895,,1,5,5
rege_ood_noisy_blender_000081,noisy,images/sample_00081.png,07:33,453,07:33:59,27239,59,07:32,452,,,True,False,True,True,1,True,False,,07:32,0.31862378120422363,,1,3,5
rege_ood_noisy_blender_000082,noisy,images/sample_00082.png,09:08,548,09:08:50,32930,50,10:25,625,,,True,False,False,False,77,False,False,,08:25,0.28771305084228516,,1,2,5
rege_ood_noisy_blender_000083,noisy,images/sample_00083.png,09:22,562,,,,08:18,498,,,True,False,False,False,64,False,False,,08:18,0.28738999366760254,,1,4,5
rege_ood_noisy_blender_000084,noisy,images/sample_00084.png,11:32,692,,,,09:31,571,,,True,False,False,False,121,False,False,,09:31,0.3311314582824707,,1,3,5
rege_ood_noisy_blender_000085,noisy,images/sample_00085.png,02:13,133,02:13:19,7999,19,12:08,8,,,True,False,False,False,125,False,False,,12:08,0.32042622566223145,,1,3,5
rege_ood_noisy_blender_000086,noisy,images/sample_00086.png,04:26,266,,,,05:28,328,,,True,False,False,False,62,False,False,,05:28,0.3148074150085449,,1,4,5
rege_ood_noisy_blender_000087,noisy,images/sample_00087.png,11:24,684,11:24:46,41086,46,12:28,28,,,True,False,False,False,64,False,False,,12:27,0.31540846824645996,,1,4,5
rege_ood_noisy_blender_000088,noisy,images/sample_00088.png,09:56,596,09:56:49,35809,49,08:53,533,,,True,False,False,False,63,False,False,,08:54,0.3231058120727539,,1,3,5
rege_ood_noisy_blender_000089,noisy,images/sample_00089.png,08:50,530,,,,03:30,210,,,True,False,False,False,320,False,False,,09:54,0.3155183792114258,,1,1,5
rege_ood_noisy_blender_000090,noisy,images/sample_00090.png,11:07,667,,,,10:03,603,,,True,False,False,False,64,False,False,,10:55,0.3160233497619629,,1,2,5
rege_ood_noisy_blender_000091,noisy,images/sample_00091.png,02:51,171,02:51:27,10287,27,12:38,38,,,True,False,False,False,133,False,False,,12:38,0.3360595703125,,1,3,5
rege_ood_noisy_blender_000092,noisy,images/sample_00092.png,12:11,11,,,,12:11,11,,,True,True,True,True,0,True,True,,12:10,0.32384610176086426,,1,3,5
rege_ood_noisy_blender_000093,noisy,images/sample_00093.png,12:06,6,,,,12:04,4,,,True,False,False,True,2,True,False,,12:04,0.2954978942871094,,1,5,5
rege_ood_noisy_blender_000094,noisy,images/sample_00094.png,01:28,88,,,,02:45,165,,,True,False,False,False,77,False,False,,03:25,0.29340195655822754,,1,1,5
rege_ood_noisy_blender_000095,noisy,images/sample_00095.png,10:44,644,,,,07:32,452,,,True,False,False,False,192,False,False,,10:32,0.3302485942840576,,1,1,5
rege_ood_noisy_blender_000096,noisy,images/sample_00096.png,06:03,363,06:03:31,21811,31,05:03,303,,,True,False,False,False,60,False,True,,05:01,0.29700636863708496,,1,3,5
rege_ood_noisy_blender_000097,noisy,images/sample_00097.png,12:18,18,12:18:20,1100,20,01:18,78,,,True,False,False,False,60,False,True,,12:18,0.29348158836364746,,1,3,5
rege_ood_noisy_blender_000098,noisy,images/sample_00098.png,05:49,349,05:49:55,20995,55,03:25,205,,,True,False,False,False,144,False,False,,06:35,0.29458189010620117,,1,1,5
rege_ood_noisy_blender_000099,noisy,images/sample_00099.png,07:00,420,07:00:18,25218,18,03:25,205,,,True,False,False,False,215,False,False,,06:49,0.31610798835754395,,1,1,5
rege_ood_noisy_blender_000100,noisy,images/sample_00100.png,06:10,370,,,,06:10,370,,,True,True,True,True,0,True,True,,06:10,0.30626559257507324,,1,4,5
rege_ood_noisy_blender_000101,noisy,images/sample_00101.png,07:39,459,07:39:35,27575,35,08:41,521,,,True,False,False,False,62,False,False,,08:42,0.31545019149780273,,1,1,5
rege_ood_noisy_blender_000102,noisy,images/sample_00102.png,06:38,398,,,,03:25,205,,,True,False,False,False,193,False,False,,11:44,0.3204922676086426,,1,2,5
rege_ood_noisy_blender_000103,noisy,images/sample_00103.png,10:24,624,,,,10:25,625,,,True,False,True,True,1,True,False,,10:25,0.3189072608947754,,1,2,5
rege_ood_noisy_blender_000104,noisy,images/sample_00104.png,07:57,477,,,,09:03,543,,,True,False,False,False,66,False,False,,09:03,0.32106733322143555,,1,3,5
rege_ood_noisy_blender_000105,noisy,images/sample_00105.png,10:46,646,10:46:25,38785,25,10:49,649,,,True,False,False,True,3,True,False,,10:49,0.3171060085296631,,1,2,5
rege_ood_noisy_blender_000106,noisy,images/sample_00106.png,08:54,534,08:54:40,32080,40,03:25,205,,,True,False,False,False,329,False,False,,07:43,0.30701541900634766,,1,2,5
rege_ood_noisy_blender_000107,noisy,images/sample_00107.png,08:54,534,08:54:55,32095,55,08:56,536,,,True,False,False,True,2,True,False,,08:56,0.32120776176452637,,1,5,5
rege_ood_noisy_blender_000108,noisy,images/sample_00108.png,07:00,420,07:00:58,25258,58,04:57,297,,,True,False,False,False,123,False,False,,11:58,0.33774614334106445,,1,1,5
rege_ood_noisy_blender_000109,noisy,images/sample_00109.png,12:58,58,,,,04:10,250,,,True,False,False,False,192,False,False,,04:08,0.3359110355377197,,1,3,5
rege_ood_noisy_blender_000110,noisy,images/sample_00110.png,07:40,460,07:40:40,27640,40,06:34,394,,,True,False,False,False,66,False,False,,06:34,0.3163731098175049,,1,3,5
rege_ood_noisy_blender_000111,noisy,images/sample_00111.png,12:46,46,12:46:57,2817,57,01:52,112,,,True,False,False,False,66,False,False,,01:53,0.3168501853942871,,1,1,5
rege_ood_noisy_blender_000112,noisy,images/sample_00112.png,11:27,687,,,,12:28,28,,,True,False,False,False,61,False,False,,12:27,0.33024001121520996,,1,3,5
rege_ood_noisy_blender_000113,noisy,images/sample_00113.png,04:38,278,,,,03:35,215,,,True,False,False,False,63,False,False,,03:36,0.31987857818603516,,1,4,5
rege_ood_noisy_blender_000114,noisy,images/sample_00114.png,02:28,148,02:28:20,8900,20,02:26,146,,,True,False,False,True,2,True,False,,02:27,0.31720733642578125,,1,3,5
rege_ood_noisy_blender_000115,noisy,images/sample_00115.png,04:52,292,,,,04:25,265,,,True,False,False,False,27,True,False,,10:25,0.31364941596984863,,1,1,5
rege_ood_noisy_blender_000116,noisy,images/sample_00116.png,08:11,491,,,,03:25,205,,,True,False,False,False,286,False,False,,12:01,0.32390379905700684,,1,2,5
rege_ood_noisy_blender_000117,noisy,images/sample_00117.png,04:30,270,04:30:47,16247,47,01:09,159,,,True,False,False,False,111,False,False,,12:08,0.30031609535217285,,1,1,5
rege_ood_noisy_blender_000118,noisy,images/sample_00118.png,12:13,13,,,,11:06,666,,,True,False,False,False,67,False,False,,11:06,0.3065915107727051,,1,4,5
rege_ood_noisy_blender_000119,noisy,images/sample_00119.png,08:21,501,08:21:29,30089,29,06:11,371,,,True,False,False,False,130,False,False,,06:11,0.3019986152648926,,1,3,5
rege_ood_noisy_blender_000120,noisy,images/sample_00120.png,04:34,274,04:34:33,16473,33,05:37,337,,,True,False,False,False,63,False,False,,05:37,0.3110926151275635,,1,3,5
rege_ood_noisy_blender_000121,noisy,images/sample_00121.png,02:46,166,02:46:46,10006,46,02:27,147,,,True,False,False,False,19,True,False,,11:56,0.31218957901000977,,1,1,5
rege_ood_noisy_blender_000122,noisy,images/sample_00122.png,09:45,585,09:45:34,35134,34,12:58,58,,,True,False,False,False,193,False,False,,12:58,0.3149864673614502,,1,3,5
rege_ood_noisy_blender_000123,noisy,images/sample_00123.png,10:22,622,10:22:34,37354,34,10:18,618,,,True,False,False,True,4,True,False,,10:17,0.3139357566833496,,1,3,5
rege_ood_noisy_blender_000124,noisy,images/sample_00124.png,05:38,338,05:38:37,20317,37,05:40,340,,,True,False,False,True,2,True,False,,05:39,0.3073756694793701,,1,4,5
rege_ood_noisy_blender_000125,noisy,images/sample_00125.png,08:19,499,,,,07:12,432,,,True,False,False,False,67,False,False,,07:13,0.31333208084106445,,1,2,5
rege_ood_noisy_blender_000126,noisy,images/sample_00126.png,05:37,337,,,,06:40,400,,,True,False,False,False,63,False,False,,06:40,0.3056755065917969,,1,3,5
rege_ood_noisy_blender_000127,noisy,images/sample_00127.png,06:51,411,06:51:13,24673,13,11:15,675,,,True,False,False,False,264,False,False,,09:16,0.3051435947418213,,1,2,5
rege_ood_noisy_blender_000128,noisy,images/sample_00128.png,08:26,506,08:26:23,30383,23,10:37,637,,,True,False,False,False,131,False,False,,06:37,0.326671838760376,,1,2,5
rege_ood_noisy_blender_000129,noisy,images/sample_00129.png,12:48,48,,,,11:44,704,,,True,False,False,False,64,False,False,,11:45,0.31568479537963867,,1,2,5
rege_ood_noisy_blender_000130,noisy,images/sample_00130.png,07:51,471,,,,07:48,468,,,True,False,False,True,3,True,False,,07:49,0.2887084484100342,,1,2,5
rege_ood_noisy_blender_000131,noisy,images/sample_00131.png,10:02,602,,,,10:03,603,,,True,False,True,True,1,True,False,,10:03,0.2875039577484131,,1,4,5
rege_ood_noisy_blender_000132,noisy,images/sample_00132.png,01:59,119,01:59:21,7161,21,12:01,1,,,True,False,False,False,118,False,False,,12:49,0.2856333255767822,,1,1,5
rege_ood_noisy_blender_000133,noisy,images/sample_00133.png,11:16,676,,,,03:03,183,,,True,False,False,False,227,False,False,,03:03,0.2874133586883545,,1,1,5
rege_ood_noisy_blender_000134,noisy,images/sample_00134.png,01:52,112,,,,01:53,113,,,True,False,True,True,1,True,False,,04:25,0.2876017093658447,,1,2,5
rege_ood_noisy_blender_000135,noisy,images/sample_00135.png,02:38,158,,,,01:36,96,,,True,False,False,False,62,False,False,,02:37,0.30475687980651855,,1,3,5
rege_ood_noisy_blender_000136,noisy,images/sample_00136.png,08:36,516,,,,03:25,205,,,True,False,False,False,311,False,False,,03:25,0.2898268699645996,,1,2,5
rege_ood_noisy_blender_000137,noisy,images/sample_00137.png,02:23,143,02:23:51,8631,51,02:25,145,,,True,False,False,True,2,True,False,,02:25,0.28620100021362305,,1,5,5
rege_ood_noisy_blender_000138,noisy,images/sample_00138.png,04:04,244,04:04:18,14658,18,05:15,315,,,True,False,False,False,71,False,False,,05:17,0.28545165061950684,,1,2,5
rege_ood_noisy_blender_000139,noisy,images/sample_00139.png,06:25,385,,,,06:25,385,,,True,True,True,True,0,True,True,,03:25,0.28875732421875,,1,3,5
rege_ood_noisy_blender_000140,noisy,images/sample_00140.png,12:11,11,,,,12:08,8,,,True,False,False,True,3,True,False,,12:08,0.29019784927368164,,1,3,5
rege_ood_noisy_blender_000141,noisy,images/sample_00141.png,03:23,203,,,,03:35,215,,,True,False,False,False,12,True,False,,03:35,0.28773927688598633,,1,2,5
rege_ood_noisy_blender_000142,noisy,images/sample_00142.png,03:03,183,03:03:05,10985,5,03:05,185,,,True,False,False,True,2,True,False,,04:06,0.2951967716217041,,1,2,5
rege_ood_noisy_blender_000143,noisy,images/sample_00143.png,01:13,73,01:13:58,4438,58,12:12,12,,,True,False,False,False,61,False,False,,02:10,0.3050236701965332,,1,2,5
rege_ood_noisy_blender_000144,noisy,images/sample_00144.png,11:49,709,11:49:22,42562,22,09:35,575,,,True,False,False,False,134,False,False,,09:35,0.3135497570037842,,1,2,5
rege_ood_noisy_blender_000145,noisy,images/sample_00145.png,07:02,422,,,,06:58,418,,,True,False,False,True,4,False,False,,07:01,0.29132986068725586,,1,2,5
rege_ood_noisy_blender_000146,noisy,images/sample_00146.png,02:40,160,02:40:37,9637,37,12:32,32,,,True,False,False,False,128,False,False,,12:33,0.3187894821166992,,1,4,5
rege_ood_noisy_blender_000147,noisy,images/sample_00147.png,10:55,655,10:55:33,39333,33,01:02,104,,,True,False,False,False,169,False,False,,12:43,0.3195481300354004,,1,1,5
rege_ood_noisy_blender_000148,noisy,images/sample_00148.png,02:53,173,02:53:44,10424,44,02:53,173,,,True,True,True,True,0,True,True,,02:53,0.30294132232666016,,1,3,5
rege_ood_noisy_blender_000149,noisy,images/sample_00149.png,07:49,469,07:49:07,28147,7,06:49,409,,,True,False,False,False,60,False,True,,07:49,0.2979154586791992,,1,4,5
rege_ood_noisy_blender_000150,noisy,images/sample_00150.png,11:29,689,11:29:29,41369,29,11:30,690,,,True,False,True,True,1,True,False,,11:28,0.3154737949371338,,1,2,5
rege_ood_noisy_blender_000151,noisy,images/sample_00151.png,10:00,600,,,,12:03,3,,,True,False,False,False,123,False,False,,12:03,0.3077113628387451,,1,2,5
rege_ood_noisy_blender_000152,noisy,images/sample_00152.png,12:33,33,12:33:41,2021,41,02:42,162,,,True,False,False,False,129,False,False,,02:42,0.3042449951171875,,1,3,5
rege_ood_noisy_blender_000153,noisy,images/sample_00153.png,09:07,547,,,,12:18,18,,,True,False,False,False,191,False,False,,12:18,0.3199758529663086,,1,2,5
rege_ood_noisy_blender_000154,noisy,images/sample_00154.png,01:08,68,01:08:55,4135,55,01:09,69,,,True,False,True,True,1,True,False,,01:08,0.3160593509674072,,1,3,5
rege_ood_noisy_blender_000155,noisy,images/sample_00155.png,02:33,153,,,,02:32,152,,,True,False,True,True,1,True,False,,02:33,0.301344633102417,,1,4,5
rege_ood_noisy_blender_000156,noisy,images/sample_00156.png,01:23,83,,,,02:33,153,,,True,False,False,False,70,False,False,,02:33,0.30503177642822266,,1,2,5
rege_ood_noisy_blender_000157,noisy,images/sample_00157.png,06:55,415,,,,03:25,205,,,True,False,False,False,210,False,False,,08:03,0.3109147548675537,,1,1,5
