id,split,image,gt_time_hhmm,gt_time_minutes,gt_time_hhmmss,gt_time_seconds_total,gt_seconds,pred_time_hhmm,pred_time_minutes,pred_time_hhmmss,pred_time_seconds_total,parsed_ok,is_exact,tol_1,tol_5,abs_err_minutes,hour_correct,minute_correct,second_correct,raw_output,latency_sec,error,run_id,vote_support,num_runs
rege_ood_clean_blender_000028,clean,images/sample_00028.png,01:42,102,01:42:38,6158,38,01:43,103,01:43:37,6217,True,False,True,True,1,True,False,False,12:43:38,0.3885836601257324,,1,2,5
rege_ood_clean_blender_000029,clean,images/sample_00029.png,05:49,349,,,,05:49,349,05:49:49,20989,True,True,True,True,0,True,True,,05:49:49,0.3848378658294678,,1,2,5
rege_ood_clean_blender_000030,clean,images/sample_00030.png,01:53,113,,,,01:51,111,01:51:51,6711,True,False,False,True,2,True,False,,1:51:51,0.367870569229126,,1,2,5
rege_ood_clean_blender_000031,clean,images/sample_00031.png,06:33,393,,,,06:33,0,12:00:00,0,True,False,False,False,327,False,False,,07:32:53,0.3825702667236328,,1,1,5
rege_ood_clean_blender_000032,clean,images/sample_00032.png,10:58,658,10:58:30,39510,30,12:01,1,12:01:31,91,True,False,False,False,63,False,False,False,12:00:31,0.38132381439208984,,1,4,5
rege_ood_clean_blender_000033,clean,images/sample_00033.png,03:58,238,03:58:21,14301,21,03:58,238,03:58:20,14300,True,True,True,True,0,True,True,False,3:58:20,0.36687302589416504,,1,4,5
rege_ood_clean_blender_000034,clean,images/sample_00034.png,06:05,365,06:05:01,21901,1,01:02,62,01:02:07,3727,True,False,False,False,303,False,False,False,The time shown on this analog clock is 01:03:44,0.5600075721740723,,1,2,5
rege_ood_clean_blender_000035,clean,images/sample_00035.png,06:09,369,,,,06:08,368,,,True,False,True,True,1,True,False,,06:07:00,0.3805525302886963,,1,4,5
rege_ood_clean_blender_000036,clean,images/sample_00036.png,12:30,30,,,,01:30,26,12:26:00,1560,True,False,False,True,4,True,False,,12:30:30,0.3734281063079834,,1,1,5
rege_ood_clean_blender_000037,clean,images/sample_00037.png,04:08,248,,,,04:06,246,04:06:06,14766,True,False,False,True,2,True,False,,04:06:06,0.3970448970794678,,1,4,5
rege_ood_clean_blender_000038,clean,images/sample_00038.png,11:58,718,11:58:27,43107,27,11:58,718,11:58:27,43107,True,True,True,True,0,True,True,True,11:59:26,0.3899214267730713,,1,3,5
rege_ood_clean_blender_000039,clean,images/sample_00039.png,03:33,213,03:33:58,12838,58,03:36,216,03:36:01,12961,True,False,False,True,3,True,False,False,The exact time shown on the analog clock is 03:36:01,0.5526444911956787,,1,3,5
rege_ood_clean_blender_000040,clean,images/sample_00040.png,07:37,457,,,,07:33,33,12:33:30,2010,True,False,False,False,296,False,False,,07:37:37,0.3871297836303711,,1,1,5
rege_ood_clean_blender_000041,clean,images/sample_00041.png,03:49,229,,,,09:48,21,12:21:00,1260,True,False,False,False,208,False,False,,10:48:00,0.38512516021728516,,1,1,5
rege_ood_clean_blender_000042,clean,images/sample_00042.png,12:02,2,,,,12:02,2,12:02:02,122,True,True,True,True,0,True,True,,12:02:02,0.3798553943634033,,1,2,5
rege_ood_clean_blender_000043,clean,images/sample_00043.png,04:23,263,04:23:21,15801,21,04:21,261,04:21:21,15681,True,False,False,True,2,True,False,True,04:21:21,0.37929224967956543,,1,1,5
rege_ood_clean_blender_000044,clean,images/sample_00044.png,09:49,589,09:49:50,35390,50,09:47,587,09:47:49,35269,True,False,False,True,2,True,False,False,10:49:50,0.386366605758667,,1,2,5
rege_ood_clean_blender_000045,clean,images/sample_00045.png,06:50,410,06:50:50,24650,50,06:49,409,06:49:49,24589,True,False,True,True,1,True,False,False,The time shown on the analog clock is 6:49:49,0.514521598815918,,1,3,5
rege_ood_clean_blender_000046,clean,images/sample_00046.png,01:01,61,01:01:19,3679,19,12:58,58,12:58:18,3498,True,False,False,True,3,False,False,False,12:59:19,0.3745119571685791,,1,3,5
rege_ood_clean_blender_000047,clean,images/sample_00047.png,10:29,629,,,,10:29,629,10:29:30,37770,True,True,True,True,0,True,True,,10:30:30,0.4079279899597168,,1,4,5
rege_ood_clean_blender_000048,clean,images/sample_00048.png,11:18,678,,,,12:20,20,12:20:20,1220,True,False,False,False,62,False,False,,12:19:57,0.3820176124572754,,1,3,5
rege_ood_clean_blender_000049,clean,images/sample_00049.png,06:34,394,,,,06:32,392,06:32:32,23552,True,False,False,True,2,True,False,,06:32:32,0.38083958625793457,,1,2,5
rege_ood_clean_blender_000050,clean,images/sample_00050.png,07:44,464,,,,07:43,463,07:43:00,27780,True,False,True,True,1,True,False,,7:43:00,0.3841097354888916,,1,2,5
rege_ood_clean_blender_000051,clean,images/sample_00051.png,02:04,124,02:04:29,7469,29,02:04,124,02:04:29,7469,True,True,True,True,0,True,True,True,12:06:30,0.38119935989379883,,1,3,5
rege_ood_clean_blender_000052,clean,images/sample_00052.png,12:54,54,,,,12:53,53,12:53:53,3233,True,False,True,True,1,True,False,,12:54:54,0.41814661026000977,,1,4,5
rege_ood_clean_blender_000053,clean,images/sample_00053.png,07:12,432,07:12:22,25942,22,02:21,141,02:21:12,8472,True,False,False,False,291,False,False,False,10:16:47,0.3894350528717041,,1,1,5
rege_ood_clean_blender_000054,clean,images/sample_00054.png,05:13,313,,,,05:12,312,05:12:32,18752,True,False,True,True,1,True,False,,05:12:32,0.3858768939971924,,1,4,5
rege_ood_clean_blender_000055,clean,images/sample_00055.png,03:45,225,03:45:52,13552,52,03:47,227,03:47:34,13654,True,False,False,True,2,True,False,False,09:50:51,0.38227009773254395,,1,1,5
rege_ood_clean_blender_000056,clean,images/sample_00056.png,02:49,169,02:49:05,10145,5,02:50,170,02:50:03,10203,True,False,True,True,1,True,False,False,13:47:04,0.3841371536254883,,1,1,5
rege_ood_clean_blender_000057,clean,images/sample_00057.png,07:56,476,,,,07:55,475,07:55:55,28555,True,False,True,True,1,True,False,,"To answer this question, I need to carefully examine the clock in the image. From what I can see:

- The hour hand is pointing at 8
- The minute hand is pointing at 57 minutes past the hour
- The second hand is slightly past 11 seconds

Therefore, the exact time shown on this analog clock is:

08:57:56",1.585982084274292,,1,4,5
rege_ood_clean_blender_000058,clean,images/sample_00058.png,11:49,709,11:49:08,42548,8,11:47,707,11:47:05,42425,True,False,False,True,2,True,False,False,11:47:05,0.38486623764038086,,1,5,5
rege_ood_clean_blender_000059,clean,images/sample_00059.png,06:19,379,,,,06:18,378,06:18:06,22686,True,False,True,True,1,True,False,,06:18:06,0.387432336807251,,1,2,5
rege_ood_clean_blender_000060,clean,images/sample_00060.png,09:59,599,,,,10:02,602,10:02:02,36122,True,False,False,True,3,False,False,,10:02:02,0.38779568672180176,,1,5,5
rege_ood_clean_blender_000061,clean,images/sample_00061.png,05:35,335,05:35:08,20108,8,05:36,336,05:36:08,20168,True,False,True,True,1,True,False,True,05:36:08,0.40610551834106445,,1,2,5
rege_ood_clean_blender_000062,clean,images/sample_00062.png,03:08,188,,,,03:07,187,03:07:07,11227,True,False,True,True,1,True,False,,12:06:08,0.3856978416442871,,1,3,5
rege_ood_clean_blender_000063,clean,images/sample_00063.png,10:57,657,10:57:32,39452,32,12:02,2,12:02:37,157,True,False,False,False,65,False,False,False,11:02:36,0.3816850185394287,,1,2,5
rege_ood_clean_blender_000064,clean,images/sample_00064.png,07:15,435,07:15:52,26152,52,07:14,434,07:14:51,26091,True,False,True,True,1,True,False,False,"To answer this question, I need to carefully examine the clock face in the image. The clock shows:

- The hour hand is pointing just before the 7, indicating it's 6:50
- The minute hand is at the 3, which represents 15 minutes past the hour
- The second hand is at the 10, which indicates 50 seconds

Therefore, the exact time shown on this analog clock is:

06:15:50",1.9384264945983887,,1,4,5
rege_ood_clean_blender_000065,clean,images/sample_00065.png,04:14,254,,,,04:12,252,04:12:12,15132,True,False,False,True,2,True,False,,04:12:12,0.39704179763793945,,1,5,5
rege_ood_clean_blender_000066,clean,images/sample_00066.png,11:42,702,11:42:50,42170,50,11:48,708,11:48:42,42522,True,False,False,False,6,True,False,False,11:48:42,0.38675785064697266,,1,5,5
rege_ood_clean_blender_000067,clean,images/sample_00067.png,11:59,719,,,,01:03,63,01:03:04,3784,True,False,False,False,64,False,False,,01:03:04,0.37012767791748047,,1,3,5
rege_ood_clean_blender_000068,clean,images/sample_00068.png,01:10,70,,,,01:10,70,01:10:10,4210,True,True,True,True,0,True,True,,01:10:10,0.39231371879577637,,1,5,5
rege_ood_clean_blender_000069,clean,images/sample_00069.png,02:19,139,,,,03:23,203,03:23:23,12203,True,False,False,False,64,False,False,,03:23:23,0.38524818420410156,,1,3,5
rege_ood_clean_blender_000070,clean,images/sample_00070.png,04:17,257,,,,04:15,255,04:15:16,15316,True,False,False,True,2,True,False,,04:15:16,0.3880431652069092,,1,1,5
rege_ood_clean_blender_000071,clean,images/sample_00071.png,08:59,539,,,,08:59,539,08:59:01,32341,True,True,True,True,0,True,True,,18:59:58,0.38136792182922363,,1,2,5
rege_ood_clean_blender_000072,clean,images/sample_00072.png,08:18,498,,,,08:16,496,08:16:16,29776,True,False,False,True,2,True,False,,8:17:18,0.3693990707397461,,1,4,5
rege_ood_clean_blender_000073,clean,images/sample_00073.png,12:45,45,,,,12:43,43,12:43:54,2634,True,False,False,True,2,True,False,,12:43:54,0.3890807628631592,,1,3,5
rege_ood_clean_blender_000074,clean,images/sample_00074.png,01:06,66,01:06:30,3990,30,01:04,64,01:04:29,3869,True,False,False,True,2,True,False,False,01:04:29,0.38362836837768555,,1,3,5
rege_ood_clean_blender_000075,clean,images/sample_00075.png,02:30,150,,,,12:31,31,12:31:00,1860,True,False,False,False,119,False,False,,"To read the time shown on this analog clock, I'll need to carefully examine the positions of the minute and hour hands, as well as the second hand.

The hour hand is just past the 2, which indicates it's between 2 and 3 o'clock.

The minute hand is pointing directly at the 5, which means 25 minutes past the hour.

The second hand is positioned between the 4 and 5, closer to the 4. This suggests it's about 20 seconds past the minute.

Combining these observations, the time shown on the clock is:

02:25:20",2.4170515537261963,,1,2,5
rege_ood_clean_blender_000076,clean,images/sample_00076.png,01:09,69,,,,12:03,3,12:03:04,184,True,False,False,False,66,False,False,,12:04:05,0.3872706890106201,,1,3,5
rege_ood_clean_blender_000077,clean,images/sample_00077.png,10:11,611,,,,10:10,610,10:10:10,36610,True,False,True,True,1,True,False,,11:40:00,0.389955997467041,,1,4,5
rege_ood_clean_blender_000078,clean,images/sample_00078.png,03:10,190,03:10:31,11431,31,03:10,190,03:10:30,11430,True,True,True,True,0,True,True,False,03:10:30,0.39607906341552734,,1,3,5
rege_ood_clean_blender_000079,clean,images/sample_00079.png,05:36,336,05:36:00,20160,0,06:36,396,06:36:01,23761,True,False,False,False,60,False,True,False,The time shown on the analog clock is 05:36:00.,0.555403470993042,,1,2,5
rege_ood_clean_blender_000080,clean,images/sample_00080.png,06:42,402,06:42:41,24161,41,07:46,466,07:46:47,28007,True,False,False,False,64,False,False,False,The exact time shown on this analog clock is 7:47:45.,0.5524046421051025,,1,3,5
rege_ood_clean_blender_000081,clean,images/sample_00081.png,10:09,609,10:09:20,36560,20,10:10,610,10:10:19,36619,True,False,True,True,1,True,False,False,10:10:19,0.38649702072143555,,1,4,5
rege_ood_clean_blender_000082,clean,images/sample_00082.png,06:38,398,06:38:46,23926,46,06:45,405,06:45:37,24337,True,False,False,False,7,True,False,False,06:45:37,0.399951696395874,,1,3,5
rege_ood_clean_blender_000083,clean,images/sample_00083.png,09:29,569,,,,09:31,571,09:31:00,34260,True,False,False,True,2,True,False,,9:31:00,0.37086057662963867,,1,3,5
rege_ood_clean_blender_000084,clean,images/sample_00084.png,03:11,191,03:11:31,11491,31,03:10,11,12:11:30,690,True,False,False,False,180,False,True,False,12:11:30,0.38131237030029297,,1,1,5
rege_ood_clean_blender_000085,clean,images/sample_00085.png,11:36,696,,,,11:35,695,11:35:03,41703,True,False,True,True,1,True,False,,11:35:03,0.3789644241333008,,1,3,5
rege_ood_clean_blender_000086,clean,images/sample_00086.png,04:36,276,,,,04:36,276,04:36:00,16560,True,True,True,True,0,True,True,,04:36:00,0.38244009017944336,,1,3,5
rege_ood_clean_blender_000087,clean,images/sample_00087.png,07:43,463,07:43:57,27837,57,07:45,465,07:45:57,27957,True,False,False,True,2,True,False,True,7:45:57,0.37673234939575195,,1,3,5
rege_ood_clean_blender_000088,clean,images/sample_00088.png,04:25,265,04:25:43,15943,43,04:24,264,04:24:44,15884,True,False,True,True,1,True,False,False,4:24:44,0.3691842555999756,,1,3,5
rege_ood_clean_blender_000089,clean,images/sample_00089.png,07:10,430,07:10:07,25807,7,02:09,129,02:09:06,7746,True,False,False,False,301,False,False,False,2:09:06,0.3629128932952881,,1,4,5
rege_ood_clean_blender_000090,clean,images/sample_00090.png,05:17,317,,,,06:18,378,06:18:30,22710,True,False,False,False,61,False,False,,06:18:30,0.3905215263366699,,1,2,5
rege_ood_clean_blender_000091,clean,images/sample_00091.png,08:21,501,,,,08:21,501,08:21:00,30060,True,True,True,True,0,True,True,,08:21:00,0.3868730068206787,,1,3,5
rege_ood_clean_blender_000092,clean,images/sample_00092.png,11:48,708,11:48:10,42490,10,11:47,707,11:47:09,42429,True,False,True,True,1,True,False,False,12:48:08,0.3879563808441162,,1,3,5
rege_ood_clean_blender_000093,clean,images/sample_00093.png,09:19,559,09:19:16,33556,16,02:17,137,02:17:10,8230,True,False,False,False,298,False,False,False,08:17:13,0.3913381099700928,,1,1,5
rege_ood_clean_blender_000094,clean,images/sample_00094.png,06:04,364,06:04:43,21883,43,10:45,645,10:45:46,38746,True,False,False,False,281,False,False,False,10:45:46,0.3848726749420166,,1,2,5
rege_ood_clean_blender_000095,clean,images/sample_00095.png,12:26,26,12:26:20,1580,20,12:27,27,12:27:20,1640,True,False,True,True,1,True,False,True,12:27:20,0.3848416805267334,,1,3,5
rege_ood_clean_blender_000096,clean,images/sample_00096.png,02:51,171,02:51:59,10319,59,01:23,172,02:52:58,10378,True,False,True,True,1,True,False,False,11:51:59,0.38140296936035156,,1,1,5
rege_ood_clean_blender_000097,clean,images/sample_00097.png,08:51,531,08:51:30,31890,30,08:51,531,08:51:29,31889,True,True,True,True,0,True,True,False,8:51:29,0.36715102195739746,,1,4,5
rege_ood_clean_blender_000098,clean,images/sample_00098.png,05:36,336,,,,05:35,335,05:35:35,20135,True,False,True,True,1,True,False,,05:37:36,0.3838181495666504,,1,2,5
rege_ood_clean_blender_000099,clean,images/sample_00099.png,05:49,349,05:49:45,20985,45,10:45,645,10:45:44,38744,True,False,False,False,296,False,False,False,The time shown on the analog clock is 9:45:44.,0.5549860000610352,,1,3,5
rege_ood_clean_blender_000100,clean,images/sample_00100.png,10:58,658,,,,10:57,657,10:57:57,39477,True,False,True,True,1,True,False,,10:57:57,0.39049720764160156,,1,5,5
rege_ood_clean_blender_000101,clean,images/sample_00101.png,07:17,437,07:17:09,26229,9,07:17,437,07:17:08,26228,True,True,True,True,0,True,True,False,07:17:08,0.38486552238464355,,1,2,5
rege_ood_clean_blender_000102,clean,images/sample_00102.png,06:34,394,,,,03:27,207,03:27:06,12426,True,False,False,False,187,False,False,,04:31:28,0.38421630859375,,1,1,5
rege_ood_clean_blender_000103,clean,images/sample_00103.png,09:07,547,,,,09:06,546,09:06:00,32760,True,False,True,True,1,True,False,,09:05:00,0.3823568820953369,,1,3,5
rege_ood_clean_blender_000104,clean,images/sample_00104.png,03:54,234,03:54:19,14059,19,10:19,619,10:19:18,37158,True,False,False,False,335,False,False,False,3:54:18,0.3765873908996582,,1,4,5
rege_ood_clean_blender_000105,clean,images/sample_00105.png,09:02,542,09:02:35,32555,35,10:06,606,10:06:41,36401,True,False,False,False,64,False,False,False,09:06:40,0.392230749130249,,1,3,5
rege_ood_clean_blender_000106,clean,images/sample_00106.png,02:51,171,,,,10:49,649,10:49:30,38970,True,False,False,False,242,False,False,,10:18:30,0.3885374069213867,,1,2,5
rege_ood_clean_blender_000107,clean,images/sample_00107.png,05:47,347,05:47:22,20842,22,05:47,347,05:47:22,20842,True,True,True,True,0,True,True,True,5:47:22,0.3700742721557617,,1,4,5
rege_ood_clean_blender_000108,clean,images/sample_00108.png,03:42,222,,,,03:41,221,03:41:29,13289,True,False,True,True,1,True,False,,3:41:29,0.36670398712158203,,1,3,5
rege_ood_clean_blender_000109,clean,images/sample_00109.png,08:24,504,,,,08:24,504,08:24:00,30240,True,True,True,True,0,True,True,,08:24:00,0.3835606575012207,,1,3,5
rege_ood_clean_blender_000110,clean,images/sample_00110.png,04:46,286,,,,04:46,286,04:46:54,17214,True,True,True,True,0,True,True,,11:46:58,0.38941478729248047,,1,3,5
rege_ood_clean_blender_000111,clean,images/sample_00111.png,06:06,366,06:06:44,22004,44,06:46,406,06:46:10,24370,True,False,False,False,40,True,False,False,6:45:09,0.3696315288543701,,1,2,5
rege_ood_clean_blender_000112,clean,images/sample_00112.png,03:05,185,03:05:53,11153,53,03:05,185,03:05:52,11152,True,True,True,True,0,True,True,False,03:05:52,0.3823223114013672,,1,1,5
rege_ood_clean_blender_000113,clean,images/sample_00113.png,10:44,644,10:44:54,38694,54,10:44,644,10:44:54,38694,True,True,True,True,0,True,True,True,10:45:55,0.3856682777404785,,1,4,5
rege_ood_clean_blender_000114,clean,images/sample_00114.png,02:12,132,,,,02:11,131,02:11:09,7869,True,False,True,True,1,True,False,,02:11:09,0.3821752071380615,,1,1,5
rege_ood_clean_blender_000115,clean,images/sample_00115.png,05:26,326,,,,06:28,388,06:28:27,23307,True,False,False,False,62,False,False,,The time shown on the analog clock is 06:28:27.,0.5525727272033691,,1,2,5
rege_ood_clean_blender_000116,clean,images/sample_00116.png,03:47,227,,,,03:45,225,03:45:45,13545,True,False,False,True,2,True,False,,The exact time shown on this analog clock is 03:45:45,0.552100658416748,,1,2,5
rege_ood_clean_blender_000117,clean,images/sample_00117.png,05:36,336,05:36:02,20162,2,05:35,335,05:35:02,20102,True,False,True,True,1,True,False,True,5:35:02,0.36735105514526367,,1,2,5
rege_ood_clean_blender_000118,clean,images/sample_00118.png,10:44,644,10:44:02,38642,2,10:42,642,10:42:01,38521,True,False,False,True,2,True,False,False,10:42:01,0.39267587661743164,,1,4,5
rege_ood_clean_blender_000119,clean,images/sample_00119.png,11:22,682,11:22:57,40977,57,11:24,684,11:24:58,41098,True,False,False,True,2,True,False,False,11:24:58,0.38416481018066406,,1,2,5
rege_ood_clean_blender_000120,clean,images/sample_00120.png,07:04,424,,,,02:04,124,02:04:04,7444,True,False,False,False,300,False,True,,"To answer this question, I need to carefully examine the clock face in the image. The clock appears to be an analog clock with a white face, likely a kitchen timer or stopwatch based on the description.

From the image, I can see that the clock has a single hand pointing to a specific position. Given the layout described, with 12 at the top and numbers moving clockwise, the hand is positioned at 12:03.

However, since it's a timer and not a traditional clock, there's likely a seconds hand as well. The description mentions a ""square thing"" in the center, which could be a seconds indicator.

Without more precise information about the seconds hand position, I'll make an educated guess that it's pointing to the 12-second mark.

Therefore, the exact time shown on this analog clock is:

00:03:12",3.2659523487091064,,1,1,5
rege_ood_clean_blender_000121,clean,images/sample_00121.png,01:17,77,,,,12:12,12,12:12:12,732,True,False,False,False,65,False,False,,12:12:12,0.3855414390563965,,1,3,5
rege_ood_clean_blender_000122,clean,images/sample_00122.png,10:55,655,10:55:46,39346,46,10:43,643,10:43:52,38632,True,False,False,False,12,True,False,False,10:52:46,0.3847043514251709,,1,1,5
rege_ood_clean_blender_000123,clean,images/sample_00123.png,09:53,593,,,,10:52,652,10:52:53,39173,True,False,False,False,59,False,False,,10:52:53,0.38904905319213867,,1,2,5
rege_ood_clean_blender_000124,clean,images/sample_00124.png,12:51,51,,,,12:48,48,12:48:12,2892,True,False,False,True,3,True,False,,The exact time shown on this analog clock is 12:48:12.,0.5934202671051025,,1,3,5
rege_ood_clean_blender_000125,clean,images/sample_00125.png,09:59,599,09:59:11,35951,11,01:16,76,01:16:04,4564,True,False,False,False,197,False,False,False,11:15:04,0.3823997974395752,,1,2,5
rege_ood_clean_blender_000126,clean,images/sample_00126.png,06:14,374,,,,06:14,374,06:14:01,22441,True,True,True,True,0,True,True,,The time shown on the analog clock is 06:14:01,0.5345869064331055,,1,2,5
rege_ood_clean_blender_000127,clean,images/sample_00127.png,04:59,299,,,,04:00,240,04:00:00,14400,True,False,False,False,59,True,False,,10:38:30,0.3793215751647949,,1,1,5
rege_ood_clean_blender_000128,clean,images/sample_00128.png,02:38,158,02:38:20,9500,20,01:20,218,03:38:38,13118,True,False,False,False,60,False,True,False,03:52:00,0.37868762016296387,,1,1,5
rege_ood_clean_blender_000129,clean,images/sample_00129.png,01:20,80,01:20:27,4827,27,01:26,86,01:26:20,5180,True,False,False,False,6,True,False,False,1:26:20,0.3645350933074951,,1,4,5
rege_ood_clean_blender_000130,clean,images/sample_00130.png,07:29,449,,,,07:26,446,07:26:26,26786,True,False,False,True,3,True,False,,06:26:26,0.3935530185699463,,1,4,5
rege_ood_clean_blender_000131,clean,images/sample_00131.png,08:25,505,,,,08:24,504,08:24:20,30260,True,False,True,True,1,True,False,,08:25:25,0.3775966167449951,,1,2,5
rege_ood_clean_blender_000132,clean,images/sample_00132.png,03:50,230,03:50:43,13843,43,10:43,643,10:43:43,38623,True,False,False,False,307,False,False,True,10:44:44,0.5355770587921143,,1,3,5
rege_ood_clean_blender_000133,clean,images/sample_00133.png,04:51,291,04:51:57,17517,57,10:55,655,10:55:53,39353,True,False,False,False,356,False,False,False,10:55:53,0.5168135166168213,,1,2,5
rege_ood_clean_blender_000134,clean,images/sample_00134.png,12:51,51,12:51:55,3115,55,01:55,115,01:55:58,6958,True,False,False,False,64,False,False,False,12:55:56,0.530217170715332,,1,1,5
rege_ood_clean_blender_000135,clean,images/sample_00135.png,06:48,408,,,,06:47,407,06:47:46,24466,True,False,True,True,1,True,False,,6:47:46,0.516289472579956,,1,2,5
